client_id,group,journeys,completed_journeys,completed,furthest_step,step_backs,repeated_steps,completion_time_s,effective_time_s,error_rate_a,error_rate_b,step_backs_per_journey,abandoned,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,age_band
6587026,Control,1,1,True,4,0,0,338.0,338.0,0.0,0.0,0.0,False,17.0,209.0,52.5,F,2.0,25388.47,1.0,4.0,50-65
6587114,Control,1,1,True,4,0,1,384.0,383.0,1.0,0.0,0.0,False,11.0,134.0,38.0,M,2.0,52558.92,3.0,6.0,35-50
6587318,Control,1,0,False,2,1,0,,,0.0,1.0,1.0,True,12.0,155.0,39.0,M,3.0,63322.15,2.0,5.0,35-50
6587813,Control,4,0,False,3,3,11,,,2.75,0.75,0.75,True,6.0,82.0,25.0,U,3.0,81592.33,6.0,9.0,<35
6587845,Test,2,1,True,4,6,3,508.0,341.0,1.5,3.0,3.0,False,12.0,151.0,56.0,F,2.0,221166.01,5.0,8.0,50-65
6588167,Control,1,0,False,0,0,2,,,2.0,0.0,0.0,True,15.0,190.0,64.0,M,2.0,151082.86,3.0,6.0,50-65
6588578,Control,1,1,True,4,0,0,82.0,82.0,0.0,0.0,0.0,False,10.0,129.0,33.0,F,2.0,33018.19,0.0,3.0,<35
6588643,Control,1,1,True,4,0,0,372.0,372.0,0.0,0.0,0.0,False,6.0,83.0,35.5,U,2.0,64614.25,6.0,9.0,35-50
6589055,Test,1,0,False,1,0,0,,,0.0,0.0,0.0,True,5.0,60.0,20.0,M,3.0,33336.6,2.0,5.0,<35
6589077,Test,5,0,False,3,4,10,,,2.0,0.8,0.8,True,32.0,394.0,85.0,M,2.0,84240.76,6.0,9.0,65+
6589373,Test,3,0,False,2,2,4,,,1.3333333333333333,0.6666666666666666,0.6666666666666666,True,7.0,94.0,35.0,M,3.0,182148.17,6.0,9.0,<35
6589685,Test,1,1,True,4,0,1,1359.0,1346.0,1.0,0.0,0.0,False,11.0,142.0,63.5,F,2.0,297645.47,0.0,3.0,50-65
6589853,Test,1,1,True,4,0,0,103.0,103.0,0.0,0.0,0.0,False,6.0,75.0,17.5,M,2.0,29692.3,1.0,4.0,<35
6589939,Control,1,1,True,4,0,0,438.0,438.0,0.0,0.0,0.0,False,15.0,182.0,62.5,M,3.0,530335.6,3.0,6.0,50-65
6590106,Test,4,0,False,3,7,2,,,0.5,1.75,1.75,True,6.0,76.0,31.0,U,2.0,63501.0,6.0,9.0,<35
6590312,Control,1,1,True,4,0,0,136.0,136.0,0.0,0.0,0.0,False,13.0,158.0,28.5,F,3.0,42679.17999999999,2.0,5.0,<35
6590564,Control,1,0,False,0,0,0,,,0.0,0.0,0.0,True,8.0,104.0,61.0,F,2.0,355569.76,0.0,3.0,50-65
6590593,Test,1,0,False,1,0,0,,,0.0,0.0,0.0,True,16.0,194.0,47.0,M,2.0,33940.85,1.0,4.0,35-50
6590646,Test,1,1,True,4,0,0,107.0,107.0,0.0,0.0,0.0,False,8.0,103.0,42.5,F,3.0,2768726.87,5.0,8.0,35-50
6591498,Test,1,1,True,4,0,0,123.0,123.0,0.0,0.0,0.0,False,6.0,81.0,34.5,U,2.0,35669.14,2.0,5.0,<35
6591984,Control,1,0,False,0,0,0,,,0.0,0.0,0.0,True,15.0,181.0,47.0,F,2.0,39645.88,1.0,4.0,35-50
6593124,Control,1,0,False,0,0,0,,,0.0,0.0,0.0,True,14.0,179.0,46.0,M,2.0,758413.99,0.0,3.0,35-50
6593434,Control,2,1,True,4,1,0,791.0,791.0,0.0,0.5,0.5,False,12.0,154.0,55.5,F,2.0,31748.74,2.0,5.0,50-65
6593440,Test,1,1,True,4,0,0,1215.0,1215.0,0.0,0.0,0.0,False,12.0,147.0,74.0,M,2.0,1550423.16,6.0,9.0,65+
